term1	term2	sharedRels	obsExp	minMim	directStr	relOverlap	misn
KAWASAKI DISEASE	Celiac disease	504	5.001	65.36919581	3.1	0.468401487	0.144461075
KAWASAKI DISEASE	Migraine headache	466	4.181	56.1643931	2.1	0.433085502	9.97E-02
KAWASAKI DISEASE	Bone mineral density	445	3.649	25.60123855		0.413568773	7.47E-02
KAWASAKI DISEASE	primary biliary cirrhosis	443	4.932	82.69489989		0.411710037	0.144355568
KAWASAKI DISEASE	Creatinine levels	439	4.481	110.903831		0.407992565	0.159951221
KAWASAKI DISEASE	Juvenile idiopathic arthritis	435	5.474	171.0684661	21.5	0.404275093	0.20171465
KAWASAKI DISEASE	LDL Cholesterol	428	4.112	80.31488065		0.397769517	0.101031005
KAWASAKI DISEASE	HDL Cholesterol	419	4.063	81.14770319	9.6	0.389405204	9.82E-02
KAWASAKI DISEASE	fasting glucose	322	3.465	53.33082065		0.299256506	9.21E-02
KAWASAKI DISEASE	Vitiligo	319	3.945	82.15952914	3.9	0.296468401	0.132486901
KAWASAKI DISEASE	Autoimmune thyroiditis	280	3.673	97.5025011		0.260223048	0.132144184
KAWASAKI DISEASE	PRIMARY SCLEROSING CHOLANGITIS	260	3.58	55.58298089		0.241635688	0.107430336
KAWASAKI DISEASE	Alopecia areata	192	2.829	55.34873022	3.1	0.178438662	0.117276944
KAWASAKI DISEASE	Liver enzyme levels	156	2.28	41.28679072		0.144981413	0.10319015
KAWASAKI DISEASE	asthma attacks	130	2.064	31.06362416		0.120817844	9.39E-02
KAWASAKI DISEASE	Restless Legs Syndrome	104	1.607	11.89547977		9.67E-02	4.23E-02
KAWASAKI DISEASE	progressive supranuclear palsy	77	1.126	14.03940889		7.16E-02	2.44E-02
KAWASAKI DISEASE	Urate levels	57	0.956	9.559293696		5.30E-02	4.80E-02
KAWASAKI DISEASE	Crohns disease	26	0.477	5.54231673		2.42E-02	3.63E-02
Systemic lupus erythematosus	Systemic lupus erythematosus	3731	6.746	4005.857486		1	0.95442504
Systemic lupus erythematosus	Rheumatoid Arthritis	2443	4.008	693.2135706	7975.6	0.65478424	0.438315563
Systemic lupus erythematosus	C-Reactive Protein	1789	3.305	323.2520523	622.7	0.479496114	0.277498297
Systemic lupus erythematosus	Renal failure	1759	2.941	480.3083493	539.7	0.471455374	0.267900051
Systemic lupus erythematosus	platelets	1627	2.665	305.4521118	309.6	0.436076119	0.215828892
Systemic lupus erythematosus	Multiple Sclerosis	1622	3.295	278.3332197	1007	0.434735996	0.303623746
Systemic lupus erythematosus	red blood cells	1616	2.516	232.1722549	128.7	0.433127848	0.244496555
Systemic lupus erythematosus	Type 2 diabetes	1482	2.41	130.9418021	65.7	0.397212544	0.169204381
Systemic lupus erythematosus	Type 1 diabetes	1427	2.977	286.9826364	515.7	0.382471187	0.290143029
Systemic lupus erythematosus	Alzheimer`s disease	1247	2.088	103.0847755	45.9	0.334226749	0.141409121
Systemic lupus erythematosus	Psoriasis	1149	2.817	288.7749768	481.3	0.307960332	0.277093583
Systemic lupus erythematosus	Ulcerative colitis	1140	2.854	216.2898245	207.9	0.30554811	0.23288636
Systemic lupus erythematosus	Allergies	983	2.201	177.3902605	101.6	0.263468239	0.196184884
Systemic lupus erythematosus	triglycerides	967	2.038	136.1358527	81.9	0.259179845	0.131591802
Systemic lupus erythematosus	Systemic sclerosis	867	2.758	490.5271948	2085.1	0.232377379	0.362975949
Systemic lupus erythematosus	chronic kidney disease	853	2.404	126.8817683	47.5	0.228625034	0.165171221
Systemic lupus erythematosus	Bone mineral density	764	2.026	63.34930981	289	0.204770839	0.131490173
Systemic lupus erythematosus	Celiac disease	692	2.263	160.1513931	193.3	0.185473064	0.22400489
Systemic lupus erythematosus	Migraine headache	688	2.018	101.5003457	153.2	0.184400965	0.130483762
Systemic lupus erythematosus	Behçet`s disease	650	2.423	258.4666211	435.2	0.174216028	0.293368443
Systemic lupus erythematosus	atopic dermatitis	586	1.772	116.692245	95	0.15706245	0.154815716
Systemic lupus erythematosus	HDL Cholesterol	563	1.793	82.61457226	27.9	0.150897883	0.105392424
Systemic lupus erythematosus	LDL Cholesterol	561	1.777	82.78529774	25.7	0.150361833	0.10723982
Systemic lupus erythematosus	primary biliary cirrhosis	547	2.044	211.9999907	247.4	0.146609488	0.256681914
Systemic lupus erythematosus	ankylosing spondylitis	540	2.027	180.453944	473.4	0.144733315	0.230350298
Systemic lupus erythematosus	Creatinine levels	425	1.439	86.93268414	29.4	0.11391048	0.152571575
Systemic lupus erythematosus	fasting glucose	398	1.426	45.64495766	10.6	0.106673814	9.71E-02
Systemic lupus erythematosus	Juvenile idiopathic arthritis	378	1.622	192.9796033	373.4	0.101313321	0.25889622
Systemic lupus erythematosus	KAWASAKI DISEASE	316	1.449	126.3985134	67.6	8.47E-02	0.179446832
Systemic lupus erythematosus	Vitiligo	300	1.272	116.5149416	75.7	8.04E-02	0.179625318
Systemic lupus erythematosus	PRIMARY SCLEROSING CHOLANGITIS	220	1.049	69.20571932	43.5	5.90E-02	0.110263341
Systemic lupus erythematosus	Autoimmune thyroiditis	192	0.876	122.9235385	101.5	5.15E-02	0.187414383
Systemic lupus erythematosus	Alopecia areata	145	0.755	66.98850367	38.1	3.89E-02	0.136115608
Systemic lupus erythematosus	Restless Legs Syndrome	128	0.703	18.23428178	7.1	3.43E-02	5.69E-02
Systemic lupus erythematosus	progressive supranuclear palsy	108	0.554	13.14707073		2.89E-02	0.022269449
Systemic lupus erythematosus	Liver enzyme levels	88	0.454	18.6799192		2.36E-02	0.051884601
Systemic lupus erythematosus	asthma attacks	64	0.363	9.541673075		1.72E-02	3.22E-02
Systemic lupus erythematosus	Urate levels	33	0.201	6.356335297		8.84E-03	0.027568441
Systemic lupus erythematosus	Crohns disease	6	0.04	1.928395226		1.61E-03	2.41E-02
Celiac disease	Celiac disease	1611	11.119	3508.482379		1	0.9343081
Celiac disease	Rheumatoid Arthritis	1149	4.177	196.9942827	237.2	0.713221601	0.243493734
Celiac disease	Systemic lupus erythematosus	1083	4.318	222.8562615	193.3	0.672253259	0.248875364
Celiac disease	Ulcerative colitis	1022	5.527	329.5777727	347.5	0.634388579	0.258669948
Celiac disease	Type 1 diabetes	1016	4.637	381.2430003	1231.8	0.630664184	0.247984298
Celiac disease	C-Reactive Protein	992	4.036	115.8381213	9.9	0.615766605	0.171837767
Celiac disease	Renal failure	982	3.634	145.4164717	10.2	0.60955928	0.167281178
Celiac disease	Type 2 diabetes	961	3.463	80.13786691	43.5	0.596523898	0.133536501
Celiac disease	red blood cells	922	3.188	113.1332028	13.3	0.572315332	0.167471558
Celiac disease	Multiple Sclerosis	907	4.036	126.1268619	117.2	0.563004345	0.2159408
Celiac disease	platelets	839	3.046	84.83894551	7.7	0.520794538	0.109734953
Celiac disease	Allergies	800	3.898	171.3679	136.9	0.496585971	0.18876575
Celiac disease	Psoriasis	783	4.154	164.7894121	120.3	0.48603352	0.198429281
Celiac disease	Alzheimer`s disease	719	2.665	48.37164492	13.3	0.446306642	9.46E-02
Celiac disease	triglycerides	702	3.233	106.6837523	13.7	0.43575419	0.099243405
Celiac disease	Systemic sclerosis	646	4.353	129.9286062	30	0.400993172	0.190494538
Celiac disease	Bone mineral density	641	3.657	88.26604327	231.6	0.39788951	0.133461575
Celiac disease	chronic kidney disease	593	3.578	64.31590791	5.5	0.368094351	0.126592221
Celiac disease	primary biliary cirrhosis	574	4.475	172.2163442	149	0.356300435	0.225154247
Celiac disease	atopic dermatitis	534	3.437	100.4881042	24.8	0.331471136	0.147184584
Celiac disease	Behçet`s disease	504	3.921	101.7842305	20.6	0.312849162	0.180743447
Celiac disease	ankylosing spondylitis	474	3.708	92.98347164	28.5	0.294227188	0.182162237
Celiac disease	Migraine headache	461	2.885	59.21651391	39.5	0.286157666	0.10741563
Celiac disease	HDL Cholesterol	439	2.963	44.98017121	4.6	0.272501552	7.98E-02
Celiac disease	LDL Cholesterol	421	2.827	46.96039374		0.261328367	0.079507505
Celiac disease	Juvenile idiopathic arthritis	380	3.352	81.50452678	57.6	0.235878336	0.183114428
Celiac disease	Creatinine levels	341	2.435	39.39483142		0.21166977	0.107091495
Celiac disease	fasting glucose	340	2.552	34.65716883		0.211049038	0.08495728
Celiac disease	Vitiligo	319	2.781	122.9648488	52.9	0.198013656	0.183496881
Celiac disease	PRIMARY SCLEROSING CHOLANGITIS	302	2.92	140.9722462	72.7	0.187461204	0.162404326
Celiac disease	Autoimmune thyroiditis	282	2.623	128.484215	118.2	0.175046555	0.209009378
Celiac disease	KAWASAKI DISEASE	268	2.503	38.88287483		0.1663563	0.117834451
Celiac disease	Alopecia areata	158	1.65	55.63418325	31.8	9.81E-02	0.143610769
Celiac disease	Restless Legs Syndrome	138	1.507	18.97359729	16.4	8.57E-02	6.73E-02
Celiac disease	Liver enzyme levels	134	1.389	21.01177474	4.6	8.32E-02	7.95E-02
Celiac disease	progressive supranuclear palsy	88	0.906	13.41194187		5.46E-02	2.46E-02
Celiac disease	asthma attacks	87	0.976	10.75037742		5.40E-02	0.044912988
Celiac disease	Urate levels	45	0.537	2.996393806		2.79E-02	2.94E-02
Celiac disease	Crohns disease	13	0.17	7.12443131		8.07E-03	5.23E-02
Ulcerative colitis	Ulcerative colitis	2339	8.836	3464.483287		1	0.943444217
Ulcerative colitis	Rheumatoid Arthritis	1690	4.273	340.7929589	436.4	0.722530996	0.30248752
Ulcerative colitis	Systemic lupus erythematosus	1499	4.16	269.5398754	207.9	0.640872168	0.248120251
Ulcerative colitis	C-Reactive Protein	1446	4.096	232.7327176	374.7	0.618212912	0.230500273
Ulcerative colitis	Renal failure	1261	3.247	183.1011779	30.9	0.539119282	0.169420791
Ulcerative colitis	red blood cells	1234	2.966	145.270403	34.7	0.527575887	0.177488416
Ulcerative colitis	platelets	1227	3.098	144.4040975	64.7	0.524583155	0.15590323
Ulcerative colitis	Type 2 diabetes	1222	3.063	86.92377885	20.8	0.52244549	0.126041245
Ulcerative colitis	Multiple Sclerosis	1206	3.74	149.3372635	118.8	0.515604959	0.21017375
Ulcerative colitis	Type 1 diabetes	1144	3.639	153.8327831	73.8	0.489097905	0.195932549
Ulcerative colitis	Psoriasis	1117	4.14	335.8055319	184.4	0.47755451	0.262706514
Ulcerative colitis	Allergies	1002	3.408	191.6573056	55	0.4283882	0.184789782
Ulcerative colitis	Alzheimer`s disease	972	2.506	70.7833645	18.4	0.415562206	0.108542745
Ulcerative colitis	triglycerides	842	2.704	106.2513939	10.5	0.359982899	0.103307152
Ulcerative colitis	Celiac disease	831	4.03	262.3106449	347.5	0.355280034	0.247208591
Ulcerative colitis	Systemic sclerosis	780	3.687	135.3940359	29.1	0.333475844	0.185904783
Ulcerative colitis	chronic kidney disease	705	2.977	57.3044856		0.301410859	0.11541671
Ulcerative colitis	atopic dermatitis	697	3.144	156.5506787	12.7	0.297990594	0.177312167
Ulcerative colitis	Bone mineral density	681	2.717	57.69784148	148.2	0.291150064	0.110354739
Ulcerative colitis	Behçet`s disease	654	3.577	199.8449557	87.9	0.27960667	0.237694043
Ulcerative colitis	primary biliary cirrhosis	589	3.228	123.4209914	100.3	0.251817016	0.182830319
Ulcerative colitis	ankylosing spondylitis	569	3.131	253.3655446	178.8	0.243266353	0.200398667
Ulcerative colitis	Migraine headache	527	2.31	51.78294047	12.7	0.225309962	9.33E-02
Ulcerative colitis	HDL Cholesterol	483	2.285	51.60723338	5.2	0.206498504	7.80E-02
Ulcerative colitis	LDL Cholesterol	482	2.269	50.91313613	5.4	0.206070971	7.92E-02
Ulcerative colitis	Juvenile idiopathic arthritis	405	2.517	149.050371	28.7	0.173150919	0.187949046
Ulcerative colitis	Creatinine levels	401	2.008	52.35538926		0.171440787	0.121576343
Ulcerative colitis	fasting glucose	355	1.872	34.34558273		0.151774263	7.18E-02
Ulcerative colitis	PRIMARY SCLEROSING CHOLANGITIS	327	2.234	337.6456505	903.8	0.139803335	0.24032387
Ulcerative colitis	KAWASAKI DISEASE	310	2.045	63.45707257		0.132535271	0.138681226
Ulcerative colitis	Vitiligo	305	1.875	64.16898103	28.3	0.130397606	0.124708577
Ulcerative colitis	Autoimmune thyroiditis	197	1.294	41.62393786	9.5	8.42E-02	0.107837622
Ulcerative colitis	Alopecia areata	161	1.189	45.98012302	14.3	6.88E-02	0.110059813
Ulcerative colitis	Restless Legs Syndrome	116	0.898	10.32709006		0.049593844	3.55E-02
Ulcerative colitis	Liver enzyme levels	110	0.807	18.94796997		4.70E-02	6.05E-02
Ulcerative colitis	asthma attacks	97	0.773	19.05990386		4.15E-02	4.91E-02
Ulcerative colitis	progressive supranuclear palsy	71	0.517	5.866448986		3.04E-02	1.48E-02
Ulcerative colitis	Urate levels	40	0.339	3.698358715		1.71E-02	2.01E-02
Ulcerative colitis	Crohns disease	12	0.112	85.15615925	74.6	5.13E-03	0.151730182
Psoriasis	Psoriasis	2344	8.707	8534.651624		1	0.922801387
Psoriasis	Rheumatoid Arthritis	1735	4.39	573.0414514	1659.3	0.740187713	0.399449551
Psoriasis	Systemic lupus erythematosus	1493	4.148	356.8418905	481.3	0.636945392	0.292215254
Psoriasis	C-Reactive Protein	1342	3.807	285.1737238	159.6	0.572525597	0.253535455
Psoriasis	Multiple Sclerosis	1265	3.93	222.1248567	373.3	0.539675768	0.249623953
Psoriasis	Type 2 diabetes	1217	3.054	120.346796	96.2	0.519197952	0.16240447
Psoriasis	platelets	1207	3.05	191.3410308	25.1	0.514931741	0.165524098
Psoriasis	red blood cells	1152	2.771	131.1010508	25.3	0.491467577	0.173076269
Psoriasis	Type 1 diabetes	1149	3.662	193.1391123	123.6	0.490187713	0.238094273
Psoriasis	Renal failure	1139	2.935	182.279477	36.4	0.485921502	0.174287477
Psoriasis	Ulcerative colitis	1117	4.232	335.8055319	184.4	0.476535836	0.262706514
Psoriasis	Alzheimer`s disease	1021	2.635	97.84615564	26.6	0.435580205	0.134111475
Psoriasis	Allergies	994	3.387	414.613793	105.9	0.424061433	0.231810671
Psoriasis	atopic dermatitis	887	4.016	953.4326674	1712.2	0.378412969	0.320667386
Psoriasis	triglycerides	847	2.725	133.5502186	32.8	0.361348123	0.132190283
Psoriasis	Systemic sclerosis	783	3.716	190.2134141	78.8	0.334044369	0.236831783
Psoriasis	chronic kidney disease	722	3.059	87.1660586	16.7	0.308020478	0.151993069
Psoriasis	Bone mineral density	716	2.865	71.89442975	10.8	0.305460751	0.14055289
Psoriasis	Celiac disease	638	3.106	132.9664462	120.3	0.2721843	0.189251266
Psoriasis	Behçet`s disease	616	3.386	272.4232963	116.4	0.262798635	0.296518356
Psoriasis	ankylosing spondylitis	591	3.269	691.8549565	496.1	0.252133106	0.296620207
Psoriasis	HDL Cholesterol	533	2.532	78.58701099	17.9	0.227389078	0.111132717
Psoriasis	primary biliary cirrhosis	527	2.902	122.3931051	24.2	0.224829352	0.178672661
Psoriasis	LDL Cholesterol	523	2.472	72.91065434	14.6	0.223122867	0.111447962
Psoriasis	Migraine headache	513	2.256	56.9545518	15	0.218856655	0.110340142
Psoriasis	Vitiligo	419	2.592	696.8130743	488.7	0.178754266	0.262938481
Psoriasis	Juvenile idiopathic arthritis	419	2.62	355.1733351	87.5	0.178754266	0.282565941
Psoriasis	Creatinine levels	407	2.047	67.13650119		0.173634812	0.130928876
Psoriasis	fasting glucose	392	2.077	62.7438037	10.2	0.167235495	0.1101468
Psoriasis	KAWASAKI DISEASE	292	1.939	92.67399679	23.8	0.124573379	0.147178653
Psoriasis	PRIMARY SCLEROSING CHOLANGITIS	234	1.61	72.30209981	9	9.98E-02	0.116705563
Psoriasis	Alopecia areata	220	1.638	336.3985598	201.8	9.39E-02	0.221445931
Psoriasis	Autoimmune thyroiditis	206	1.362	88.06313483	24.6	8.79E-02	0.132154294
Psoriasis	Restless Legs Syndrome	127	0.991	13.22677128		5.42E-02	5.58E-02
Psoriasis	Liver enzyme levels	110	0.813	26.77144605		4.69E-02	7.48E-02
Psoriasis	asthma attacks	87	0.699	26.64465133		3.71E-02	5.47E-02
Psoriasis	progressive supranuclear palsy	75	0.551	11.37070393		3.20E-02	1.77E-02
Psoriasis	Urate levels	54	0.463	14.51525519		0.023037543	4.48E-02
Psoriasis	Crohns disease	12	0.113	13.3375029		5.12E-03	5.28E-02
Multiple Sclerosis	Multiple Sclerosis	2930	7.396	2992.627104		1	0.943158507
Multiple Sclerosis	Rheumatoid Arthritis	1791	3.67	299.1647982	1643.4	0.611262799	0.311414269
Multiple Sclerosis	Systemic lupus erythematosus	1622	3.655	278.3332197	1007	0.553583618	0.303623746
Multiple Sclerosis	Alzheimer`s disease	1505	3.147	237.5804741	1176.6	0.513651877	0.246728725
Multiple Sclerosis	C-Reactive Protein	1287	2.962	128.9430461	44.4	0.439249147	0.203932131
Multiple Sclerosis	Type 2 diabetes	1249	2.538	82.86817489	68.5	0.426279863	0.140609304
Multiple Sclerosis	Type 1 diabetes	1245	3.225	223.2932516	620.8	0.424914676	0.252432735
Multiple Sclerosis	platelets	1240	2.538	110.187592	52.2	0.423208191	0.154977553
Multiple Sclerosis	red blood cells	1205	2.346	91.28612889	72.6	0.411262799	0.175225583
Multiple Sclerosis	Renal failure	1143	2.386	107.2242985	22.8	0.390102389	0.152456768
Multiple Sclerosis	Psoriasis	980	2.969	186.6418577	373.3	0.33447099	0.236438628
Multiple Sclerosis	Ulcerative colitis	885	2.735	113.1635449	118.8	0.302047782	0.196052556
Multiple Sclerosis	Allergies	824	2.286	117.0393047	95.8	0.281228669	0.183800267
Multiple Sclerosis	Migraine headache	778	2.801	118.1164952	275.5	0.26552901	0.169715148
Multiple Sclerosis	triglycerides	745	1.949	55.5749566	7.4	0.254266212	9.20E-02
Multiple Sclerosis	chronic kidney disease	651	2.255	44.65172009	10.6	0.2221843	0.11587799
Multiple Sclerosis	Bone mineral density	644	2.105	39.56232507	95.6	0.219795222	0.115577482
Multiple Sclerosis	Systemic sclerosis	638	2.483	92.16545503	146	0.21774744	0.199768324
Multiple Sclerosis	Celiac disease	566	2.261	88.19038345	117.2	0.193174061	0.194468941
Multiple Sclerosis	atopic dermatitis	540	2.002	96.21663202	35.3	0.184300341	0.167509488
Multiple Sclerosis	Behçet`s disease	513	2.322	108.1174162	90.2	0.175085324	0.200788657
Multiple Sclerosis	ankylosing spondylitis	442	2.014	66.80513353	88.6	0.150853242	0.155631583
Multiple Sclerosis	primary biliary cirrhosis	439	1.991	82.84534621	43.3	0.149829352	0.182562975
Multiple Sclerosis	LDL Cholesterol	429	1.663	28.03163713		0.146416382	7.14E-02
Multiple Sclerosis	HDL Cholesterol	426	1.659	29.04176574		0.145392491	7.04E-02
Multiple Sclerosis	Juvenile idiopathic arthritis	321	1.66	61.09347453	64.5	0.109556314	0.178044705
Multiple Sclerosis	fasting glucose	305	1.329	21.89268957		0.104095563	7.08E-02
Multiple Sclerosis	Creatinine levels	304	1.256	25.08935335		0.103754266	8.48E-02
Multiple Sclerosis	Vitiligo	251	1.283	50.03748918	32.6	8.57E-02	0.149970523
Multiple Sclerosis	KAWASAKI DISEASE	215	1.184	32.07114277	8.8	7.34E-02	0.12883382
Multiple Sclerosis	progressive supranuclear palsy	186	1.138	59.63965857	22.7	0.063481229	0.111514391
Multiple Sclerosis	Restless Legs Syndrome	180	1.172	28.58733219	104.2	6.14E-02	8.69E-02
Multiple Sclerosis	PRIMARY SCLEROSING CHOLANGITIS	171	0.976	27.17404385		5.84E-02	9.17E-02
Multiple Sclerosis	Autoimmune thyroiditis	163	0.893	42.64352149	44.8	5.56E-02	0.134121113
Multiple Sclerosis	Alopecia areata	119	0.738	39.96863637	13.5	4.06E-02	0.116359699
Multiple Sclerosis	Liver enzyme levels	63	0.387	4.543377636		2.15E-02	2.96E-02
Multiple Sclerosis	asthma attacks	54	0.362	6.393735573		1.84E-02	3.33E-02
Multiple Sclerosis	Urate levels	24	0.172	1.596114494	10.8	8.19E-03	1.64E-02
Multiple Sclerosis	Crohns disease	6	0.047	0.883288122		2.05E-03	0.01368516
Rheumatoid Arthritis	Rheumatoid Arthritis	4089	6.131	2820.370672		1	0.96222469
Rheumatoid Arthritis	Systemic lupus erythematosus	2225	3.678	639.0321165	7975.6	0.544142822	0.432468072
Rheumatoid Arthritis	C-Reactive Protein	1855	3.133	381.0679489	2069.7	0.453656151	0.329434861
Rheumatoid Arthritis	platelets	1632	2.444	183.4689497	144.1	0.399119589	0.206766641
Rheumatoid Arthritis	Multiple Sclerosis	1598	2.968	260.7371651	1643.4	0.390804598	0.304989379
Rheumatoid Arthritis	Type 2 diabetes	1575	2.341	120.247986	211.9	0.385179751	0.176246158
Rheumatoid Arthritis	Renal failure	1552	2.372	201.6444925	216.3	0.379554903	0.213070682
Rheumatoid Arthritis	red blood cells	1547	2.201	153.3578956	135	0.378332111	0.224981038
Rheumatoid Arthritis	Type 1 diabetes	1371	2.615	248.7915123	796.4	0.335289802	0.264895374
Rheumatoid Arthritis	Alzheimer`s disease	1337	2.046	105.7687924	195	0.32697481	0.152707398
Rheumatoid Arthritis	Psoriasis	1223	2.743	456.1549719	1659.3	0.299095133	0.375192763
Rheumatoid Arthritis	Ulcerative colitis	1123	2.572	236.7941649	436.4	0.274639276	0.277876275
Rheumatoid Arthritis	Allergies	983	2.013	146.754563	143.3	0.240401076	0.199453579
Rheumatoid Arthritis	triglycerides	965	1.859	89.71064207	78.2	0.235999022	0.13214681
Rheumatoid Arthritis	Bone mineral density	887	2.153	116.6447251	809.1	0.216923453	0.166375186
Rheumatoid Arthritis	chronic kidney disease	809	2.086	71.06469519	50.4	0.197847885	0.158561519
Rheumatoid Arthritis	Systemic sclerosis	807	2.351	258.6320039	1439.4	0.197358767	0.310395521
Rheumatoid Arthritis	Celiac disease	649	1.943	132.8933354	237.2	0.158718513	0.212455473
Rheumatoid Arthritis	Migraine headache	624	1.675	56.87872039	69.8	0.152604549	0.123813232
Rheumatoid Arthritis	ankylosing spondylitis	599	2.06	438.784136	2986.1	0.146490584	0.364844908
Rheumatoid Arthritis	atopic dermatitis	577	1.598	102.1087867	86.1	0.141110296	0.168798694
Rheumatoid Arthritis	HDL Cholesterol	557	1.624	53.7838518	66.9	0.136219124	0.106612156
Rheumatoid Arthritis	Behçet`s disease	547	1.868	192.2105964	417.8	0.133773539	0.290205651
Rheumatoid Arthritis	LDL Cholesterol	533	1.546	49.70298054	61.5	0.130349719	0.106735031
Rheumatoid Arthritis	primary biliary cirrhosis	497	1.701	130.5790473	218.8	0.12154561	0.223388947
Rheumatoid Arthritis	fasting glucose	393	1.289	36.86279272	9	9.61E-02	0.101152662
Rheumatoid Arthritis	Juvenile idiopathic arthritis	378	1.487	391.5534694	758.9	9.24E-02	0.404155064
Rheumatoid Arthritis	Creatinine levels	371	1.151	38.51021852	8.9	0.09073123	0.128965389
Rheumatoid Arthritis	Vitiligo	278	1.08	67.05566658	90.3	6.80E-02	0.151798355
Rheumatoid Arthritis	KAWASAKI DISEASE	255	1.072	63.75482721	30.7	6.24E-02	0.163481479
Rheumatoid Arthritis	PRIMARY SCLEROSING CHOLANGITIS	193	0.844	45.4097929	25.4	4.72E-02	0.10904687
Rheumatoid Arthritis	Autoimmune thyroiditis	164	0.686	66.87714299	85.3	4.01E-02	0.141315572
Rheumatoid Arthritis	Alopecia areata	121	0.578	45.09316403	42.6	2.96E-02	0.117712501
Rheumatoid Arthritis	Restless Legs Syndrome	119	0.6	9.301027451	22.3	0.02910247	5.12E-02
Rheumatoid Arthritis	progressive supranuclear palsy	78	0.367	4.509969607		1.91E-02	1.73E-02
Rheumatoid Arthritis	Liver enzyme levels	69	0.327	9.307496694	8.8	1.69E-02	3.70E-02
Rheumatoid Arthritis	asthma attacks	66	0.344	7.514026241		1.61E-02	3.08E-02
Rheumatoid Arthritis	Urate levels	33	0.185	4.241565358		8.07E-03	2.03E-02
Rheumatoid Arthritis	Crohns disease	5	0.031	4.608447231	11.7	1.22E-03	1.65E-02
Allergies	Allergies	2155	8.022	4650.257895		1	0.912878938
Allergies	Rheumatoid Arthritis	1270	3.506	178.0761022	143.3	0.589327146	0.212710662
Allergies	Systemic lupus erythematosus	1142	3.463	198.7977124	101.6	0.529930394	0.203671361
Allergies	C-Reactive Protein	1097	3.397	148.4026862	27.2	0.509048724	0.168509819
Allergies	red blood cells	1071	2.811	135.6855987	13.7	0.496983759	0.170381635
Allergies	platelets	1041	2.87	157.0054372	40.8	0.483062645	0.138630501
Allergies	Renal failure	1032	2.902	158.6070571	125.4	0.478886311	0.151484155
Allergies	Multiple Sclerosis	948	3.216	130.1472435	95.8	0.439907193	0.19018662
Allergies	Type 2 diabetes	895	2.45	71.29062878	41.5	0.415313225	0.106202302
Allergies	Type 1 diabetes	879	3.059	137.0350449	93.8	0.407888631	0.17608791
Allergies	Ulcerative colitis	859	3.557	173.8264019	55	0.398607889	0.177365216
Allergies	Psoriasis	822	3.338	356.0094121	105.9	0.381438515	0.22244102
Allergies	atopic dermatitis	821	4.066	1151.177957	942.6	0.380974478	0.441746354
Allergies	Alzheimer`s disease	766	2.157	64.43848585	24.8	0.355452436	9.25E-02
Allergies	triglycerides	641	2.252	92.36034408		0.297447796	8.79E-02
Allergies	Celiac disease	550	2.931	137.3470263	136.9	0.255220418	0.173218352
Allergies	Migraine headache	549	2.641	95.02428149	162.9	0.254756381	0.116834353
Allergies	Systemic sclerosis	526	2.731	95.19397718		0.244083527	0.142239138
Allergies	Bone mineral density	517	2.262	40.14328385	6.4	0.239907193	9.15E-02
Allergies	chronic kidney disease	502	2.325	42.03120652		0.232946636	9.08E-02
Allergies	Behçet`s disease	419	2.522	89.67470077	6.4	0.194431555	0.135749313
Allergies	primary biliary cirrhosis	374	2.256	82.88411313		0.173549884	0.125568142
