chainSarHar1	Tasmanian devil (Feb. 2011 (WTSI Devil_ref v7.0/sarHar1)) Chained Alignments
wgEncodeOpenChromSynthGm12878Pk	GM12878 DNaseI/FAIRE/ChIP Synthesis from ENCODE/OpenChrom
wgEncodeCaltechRnaSeqGm12878R2x75Il200AlignsRep1V2	GM12878 200 bp paired read RNA-seq Alignments Rep 1 from ENCODE/Caltech
wgEncodeHaibTfbsGm12878Atf2sc81188V0422111PkRep1	GM12878 ATF2 v042211.1 ChIP-seq Peaks Rep 1 from ENCODE/HAIB
wgEncodeSydhTfbsGm12878Bhlhe40cIggmusPk	GM12878 BHLHE40 NB100 IgG-mus ChIP-seq Peaks from ENCODE/SYDH
wgEncodeCshlLongRnaSeqGm12878CellLongnonpolyaAlnRep1	GM12878 whole cell polyA- RNA-seq Alignments Rep 1 from ENCODE/CSHL
wgEncodeCshlShortRnaSeqGm12878CellShorttotalTapContigs	GM12878 TAP-only whole cell small RNA-seq Contigs from ENCODE/CSHL
wgEncodeUwTfbsGm12878CtcfStdHotspotsRep1	GM12878 CTCF TFBS ChIP-seq Hotspots 1 from ENCODE/UW
wgEncodeRikenCageGm12878CytosolPamTssHmmV2	GM12878 cytosol polyA- CAGE TSS HMM from ENCODE/RIKEN
wgEncodeUwHistoneGm12878H3k4me3StdHotspotsRep1	GM12878 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
hinv70Coding	H-Inv v7.0 Gene Predictions
wgEncodeFsuRepliChipH1hescWaveSignalRep1	H1-hESC Repli-chip Wavelet-smoothed Signal Rep 1 from ENCODE/FSU
ucsfChipSeqH3K4me3BrainCoverage	H3K4me3 ChIP-seq Raw Signal
altSeqHaplotypesP10	Haplotypes to GRCh37 Reference Sequence
hapmapSnpsASW	HapMap SNPs from the ASW Population (African Ancestry in SouthWestern United States)
wgEncodeSunySwitchgearHt1080Elavl1RbpAssocRna	HT-1080 ELAV1 RBP Associated RNA by Switchgear from ENCODE/SUNY
phastBiasTracts3	phastBias gBGC human tracts
pubsBlatPsl	Individual Sequence Matches of One Selected Article from Sequences Track
iscaCuratedBenign	ISCA CNVs: Curated Benign
wgEncodeGisChiaPetK562CtcfInteractionsRep1	K562 CTCF ChIA-PET Interactions Rep 1 from ENCODE/GIS-Ruan
wgEncodeUchicagoTfbsK562EfosControlPk	K562 FOS GFP-tag TFBS Peaks from ENCODE/UChicago
wgEncodeSydhHistoneK562H3k4me1UcdPk	K562 H3K4me1 Histone Modifications by ChIP-Seq Peaks from ENCODE/SYDH
wgEncodeUwDgfK562Hotspots	K562 DNaseI DGF Hotspots from ENCODE/UW
wgEncodeSydhRnaSeqK562Ifna30PolyaAln	K562 polyA+ IFNa30 RNA-seq Alignments from ENCODE/SYDH
pgKb1Comb	KB1 Genome Variants, combination of 454, Illumina, and genotyping
jaxQtlAsIs	MGI Mouse QTLs Coarsely Mapped to Human
cons100wayViewalign	Vertebrate Multiz Alignment & Conservation (100 Species)
numtS	Human NumtS
wgEncodeBuOrchidV1	OH Radical Cleavage Intensity Database (ORChID) V1 from ENCODE/Boston Univ
polyASeqSitesBrainFwd	Poly(A)-tail sequencing of Brain from Merck (Fwd strand)
polyaDb	Reported Poly(A) Sites from PolyA_DB
phyloP46wayPrimates	Primate Basewise Conservation by PhyloP
pubs	Publications: Sequences in Scientific Articles
rmsk	Repeating Elements by RepeatMasker
burgeRnaSeqGemMapperAlignBT474	Burge Lab RNA-seq 32mer Reads from BT474 Breast Tumor Cell Line
decodeSexAveraged	deCODE recombination map, sex-average
hiSeqDepthTopPt1Pct	Top 0.001 of Read Depth Distribution
knownGene	UCSC Genes (RefSeq, GenBank, CCDS, Rfam, tRNAs & Comparative Genomics)
vegaGene	Vega Protein-Coding Annotations
wgEncodeRegTxn	Transcription Levels Assayed by RNA-seq on 9 Cell Lines from ENCODE
wgEncodeRegMarkH3k4me1	H3K4Me1 Mark (Often Found Near Regulatory Elements) on 7 cell lines from ENCODE
wgEncodeRegMarkH3k4me3	H3K4Me3 Mark (Often Found Near Promoters) on 7 cell lines from ENCODE
wgEncodeRegMarkH3k27ac	H3K27Ac Mark (Often Found Near Active Regulatory Elements) on 7 cell lines from ENCODE
wgEncodeRegDnaseClusteredV2	Digital DNaseI Hypersensitivity Clusters in 125 cell types from ENCODE
wgEncodeRegDnaseClustered	Digital DNaseI Hypersensitivity Clusters in 74 cell types (2 reps) from ENCODE
wgEncodeRegTfbsClusteredV3	Transcription Factor ChIP-seq (161 factors) from ENCODE with Factorbook Motifs
wgEncodeRegTfbsClusteredV2	Transcription Factor ChIP-seq from ENCODE V2
netSarHar1	Tasmanian devil (Feb. 2011 (WTSI Devil_ref v7.0/sarHar1)) Alignment Net
netPanTro4	Chimp (Feb. 2011 (CSAC 2.1.4/panTro4)) Alignment Net
netMm10	Mouse (Dec. 2011 (GRCm38/mm10)) Alignment Net
tgpPhase1AccessibilityStrictCriteria	1000 Genomes Project Phase 1 Paired-end Accessible Regions - Strict Criteria
wgEncodeHaibRnaSeqA549Dex100nmAlnRep1	A549 DEX 1 hr 100 nM RNA-seq Alignments Rep 1 from ENCODE/HAIB
lincRNAsCTAdrenal	lincRNAs from adrenal
snpArrayAffy6SV	Affymetrix SNP 6.0 Structural Variation
cons46wayViewphyloP	Vertebrate Multiz Alignment & Conservation (46 Species)
clinvarCnv	ClinVar Variants, CNVs Only
wgEncodeGencodeCompV7	Comprehensive Gene Annotation Set from ENCODE/GENCODE Version 7
wgEncodeGencodeCompV14	Comprehensive Gene Annotation Set from ENCODE/GENCODE Version 14
wgEncodeGencodeCompV17	Comprehensive Gene Annotation Set from ENCODE/GENCODE Version 17
wgEncodeGencodeCompV19	Comprehensive Gene Annotation Set from ENCODE/GENCODE Version 19
cons46way	Vertebrate Multiz Alignment & Conservation (46 Species)
cons46wayViewelements	Vertebrate Multiz Alignment & Conservation (46 Species)
affyExonProbeCore	Affymetrix Human Exon Array Core Probes
wgEncodeCrgMapabilityAlign36mer	Alignability of 36mers by GEM from ENCODE/CRG(Guigo)
dgvSupporting	Database of Genomic Variants: Supporting Structural Variants (CNV, Inversion, In/del)
eioJcviNASNeg	CD34- cells Nuclease Accessible Sites
cons46wayViewphastcons	Vertebrate Multiz Alignment & Conservation (46 Species)
dhcHumDerDenAncAllFixedDbSnp	Modern Human Derived (Fixed+dbSNP), Denisova Ancestral: All
wgEncodeGisRnaSeqGm12878CytosolPapMinusRawRep1	GM12878 cytosol polyA+ RNA-seq Minus raw signal rep 1 from ENCODE/GIS
wgEncodeGisRnaPetGm12878CytosolPapMinusRawRep1V2	GM12878 cytosol polyA+ clone-based RNA PET Minus signal Rep 1 from ENCODE/GIS
wgEncodeDukeAffyExonGm12878SimpleSignalRep2V2	GM12878 Exon array Signal Rep 2 from ENCODE/Duke
wgEncodeHaibMethylRrbsGm12878HaibSitesRep2	GM12878 Methyl-RRBS Rep 2 from ENCODE/HudsonAlpha
wgEncodeHaibGenotypeGm12878RegionsRep2	GM12878 Copy number variants Replicate 2 from ENCODE/HAIB
wgEncodeGisDnaPetGm12878F5kAln	ENCODE GIS DNA PET Alignments (5k frags in GM12878 cells)
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk	GM12878 TFBS Uniform Peaks of ATF3 from ENCODE/HudsonAlpha/Analysis
wgEncodeUncBsuProtGencGm12878CellIngelmPepMapGcFt	GM12878 In-gel ProtG GENCODE11 Hg19 PTM Mapping from ENCODE/UNC/BSU
wgEncodeOpenChromChipGm12878CmycSig	GM12878 cMyc TFBS ChIP-seq Density Signal ENCODE/OpenChrom-UTA
wgEncodeAwgSegmentationCombinedGm12878	GM12878 Genome Segmentation by Combined Segway+ChromHMM from ENCODE/Analysis
wgEncodeBroadHistoneGm12878CtcfStdSig	GM12878 CTCF Histone Mods by ChIP-seq Signal from ENCODE/Broad
wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongnonpolya	GM12878 cytosol polyA- Microarray Transfrags from ENCODE Affy/CSHL
wgEncodeOpenChromDnaseGm12878Sig	GM12878 DNaseI HS Density Signal from ENCODE/Duke
wgEncodeSunyAlbanyGeneStGm12878Elavl1RbpAssocRnaV2	GM12878 ELAVL1 RBP Associated RNA by RIP-chip GeneST from ENCODE/SUNY
wgEncodeSunyRipSeqGm12878Elavl1AlnRep2	GM12878 ELAVL1 RIP-seq Alignments Rep 2 from ENCODE/SUNY
wgEncodeOpenChromFaireGm12878Sig	GM12878 FAIRE Density Signal from ENCODE/OpenChrom(UNC)
wgEncodeUncBsuProtGm12878MitoSig	GM12878 Mitochondria Proteogenomic Hg19 Mapping Hits from ENCODE/UNC/BSU
wgEncodeSunyAlbanyTilingGm12878Pabpc1RbpAssocRna	GM12878 PABPC1 RBP Associated RNA by Tiling Array from ENCODE/SUNY
wgEncodeUwDnaseGm12878PkRep1	GM12878 DNaseI HS Peaks Rep 1 from ENCODE/UW
wgEncodeUwRepliSeqGm12878S1PctSignalRep1	GM12878 S1-Phase Repli-seq Percentage-normalized Signal Rep 1 from ENCODE/UW
wgEncodeCaltechRnaSeqGm12878R2x75Il200AlignsRep2V2	GM12878 200 bp paired read RNA-seq Alignments Rep 2 from ENCODE/Caltech
wgEncodeHaibTfbsGm12878Atf2sc81188V0422111RawRep1	GM12878 ATF2 v042211.1 ChIP-seq Raw Signal Rep 1 from ENCODE/HAIB
wgEncodeSydhTfbsGm12878Bhlhe40cIggmusSig	GM12878 BHLHE40 NB100 IgG-mus ChIP-seq Signal from ENCODE/SYDH
wgEncodeCshlLongRnaSeqGm12878CellLongnonpolyaAlnRep2	GM12878 whole cell polyA- RNA-seq Alignments Rep 2 from ENCODE/CSHL
wgEncodeCshlShortRnaSeqGm12878CellShorttotalTapMinusRawRep1	GM12878 TAP-only whole cell small RNA-seq Minus signal Rep 1 from ENCODE/CSHL
wgEncodeUwTfbsGm12878CtcfStdPkRep1	GM12878 CTCF TFBS ChIP-seq Peaks 1 from ENCODE/UW
wgEncodeRikenCageGm12878CytosolPamPlusSignal	GM12878 cytosol polyA- CAGE Plus start sites Rep 1 from ENCODE/RIKEN
wgEncodeUwHistoneGm12878H3k4me3StdPkRep1	GM12878 H3K4me3 Histone Mod ChIP-seq Peaks 1 from ENCODE/UW
hinv70NonCoding	H-Inv v7.0 Non-coding Gene Predictions
wgEncodeRegMarkH3k4me1H1hesc	H3K4Me1 Mark (Often Found Near Regulatory Elements) on H1-hESC Cells from ENCODE
wgEncodeRegMarkH3k4me3H1hesc	H3K4Me3 Mark (Often Found Near Promoters) on H1-hESC Cells from ENCODE
wgEncodeRegTxnCaltechRnaSeqH1hescR2x75Il200SigPooled	Transcription of H1-hESC cells from ENCODE
wgEncodeRegMarkH3k27acH1hesc	H3K27Ac Mark (Often Found Near Regulatory Elements) on H1-hESC Cells from ENCODE
wgEncodeHaibMethyl450H1hescSitesRep1	H1-hESC Methylation 450K Bead Array from ENCODE/HAIB
wgEncodeFsuRepliChipH1hescWaveSignalRep2	H1-hESC Repli-chip Wavelet-smoothed Signal Rep 2 from ENCODE/FSU
wgEncodeBroadHmmH1hescHMM	H1-hESC Chromatin State Segmentation by HMM from ENCODE/Broad
wgEncodeAwgDnaseUwdukeH1hescUniPk	H1-hESC DNaseI HS Uniform Peaks from ENCODE/Analysis
wgEncodeUmassDekker5CH1hescPkV2	H1-hESC 5C Peaks from ENCODE/UMass-Dekker
wgEncodeOpenChromSynthH1hescPk	H1-hESC DNaseI/FAIRE/ChIP Synthesis from ENCODE/OpenChrom
hapmapSnpsCEU	HapMap SNPs from the CEU Population (Northern and Western European Ancestry in Utah, US - CEPH)
wgEncodeSunySwitchgearHt1080Igf2bp1RbpAssocRna	HT-1080 IGF2BP1 RBP Associated RNA by Switchgear from ENCODE/SUNY
phastBiasPosteriors3	phastBias gBGC posterior probability on human branch
iscaBenign	ISCA CNVs: Benign
wgEncodeUwAffyExonArrayK562SimpleSignalRep1	K562 Exon array Signal Rep 1 from ENCODE/UW
wgEncodeGisChiaPetK562CtcfSigRep1	K562 CTCF ChIA-PET Signal Rep 1 from ENCODE/GIS-Ruan
wgEncodeUchicagoTfbsK562EfosControlSig	K562 FOS GFP-tag TFBS Signal from ENCODE/UChicago
wgEncodeSydhHistoneK562H3k4me1UcdSig	K562 H3K4me1 Histone Modifications by ChIP-Seq Signal from ENCODE/SYDH
wgEncodeSydhRnaSeqK562Ifna30PolyaRaw	K562 polyA+ IFNa30 RNA-seq Raw Signal from ENCODE/SYDH
wgEncodeUwDgfK562Pk	K562 DNaseI DGF Peaks from ENCODE/UW
wgEncodeSydhNsomeK562Sig	K562 Nucleosome Signal from ENCODE/Stanford/BYU
pgKb1454	KB1 Genome Variants, 454
dhcVcfHGDP00456	Mbuti Individual (HGDP00456) Variant Calls
bamSLMez1	Mez1 Sequence Reads
jaxQtlPadded	MGI Mouse QTL Peak-Score Markers Padded to 100k and Coarsely Mapped to Human
ucsfMreSeqBrainCpG	MRE-seq CpG Score
cons46wayViewalign	Vertebrate Multiz Alignment & Conservation (46 Species)
uMassBrainHistonePeaksNeuron	Neuron-specific Brain Histone H3K4me3 from UMMS
numtSAssembled	Human NumtS Assembled
wgEncodeBuOrchidV2	OH Radical Cleavage Intensity Database (ORChID) V2 from ENCODE/Boston Univ
altSeqPatchesP10	Patches to GRCh37 Reference Sequence
polyaPredict	Predicted Poly(A) Sites Using an SVM
polyASeqSitesBrainRev	Poly(A)-tail sequencing of Brain from Merck (Rev strand)
refGene	RefSeq Genes
burgeRnaSeqGemMapperAlignHME	Burge Lab RNA-seq 32mer Reads from HME (Human Mammary Epithelial) Cell Line
pubsBlat	Sequences in Articles: PubmedCentral and Elsevier
decodeSexAveragedCarrier	deCODE recombination map, sex-average carrier
intronEst	Human ESTs That Have Been Spliced
hiSeqDepthTopPt5Pct	Top 0.005 of Read Depth Distribution
cpgIslandExtUnmasked	CpG Islands on All Sequence (Islands < 300 Bases are Light Green)
vegaPseudoGene	Vega Annotated Pseudogenes and Immunoglobulin Segments
wgEncodeAwgDnaseUniform	DNaseI Hypersensitivity Uniform Peaks from ENCODE/Analysis
wgEncodeAwgTfbsUniform	Transcription Factor ChIP-seq Uniform Peaks from ENCODE/Analysis
chainMonDom5	Opossum (Oct. 2006 (Broad/monDom5)) Chained Alignments
chainGorGor3	Gorilla (May 2011 (gorGor3.1/gorGor3)) Chained Alignments
chainRn4	Rat (Nov. 2004 (Baylor 3.4/rn4)) Chained Alignments
wgEncodeHaibRnaSeqA549Dex100nmRawRep2	A549 DEX 1 hr 100 nM RNA-seq Raw Signal Rep 2 from ENCODE/HAIB
snpArrayAffy5	Affymetrix SNP 5.0
altSeqLiftOverPslP10	GRCh37 Alternate Sequence Lift Over Alignments
pubsMarkerBand	Cytogenetic Bands in Publications
lincRNAsCTBrain	lincRNAs from brain
wgEncodeCrgMapabilityAlign40mer	Alignability of 40mers by GEM from ENCODE/CRG(Guigo)
affyExonProbesetExtended	Affymetrix Human Exon Array Extended Probesets
dhcVcfHGDP00521	French Individual (HGDP00521) Variant Calls
pubsMarkerGene	Gene Symbols in Publications
wgEncodeGisRnaPetGm12878CytosolPapPlusRawRep1V2	GM12878 cytosol polyA+ clone-based RNA PET Plus signal Rep 1 from ENCODE/GIS
wgEncodeGisRnaSeqGm12878CytosolPapPlusRawRep1	GM12878 cytosol polyA+ RNA-seq Plus raw signal rep 1 from ENCODE/GIS
wgEncodeGisDnaPetGm12878F10kAln	ENCODE GIS DNA PET Alignments (10k frags in GM12878 cells)
wgEncodeDukeAffyExonGm12878SimpleSignalRep3V2	GM12878 Exon array Signal Rep 3 from ENCODE/Duke
wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk	GM12878 TFBS Uniform Peaks of BATF from ENCODE/HudsonAlpha/Analysis
wgEncodeOpenChromChipGm12878CmycBaseOverlapSignal	GM12878 cMyc TFBS ChIP-seq Overlap Signal ENCODE/OpenChrom-UTA
wgEncodeUncBsuProtGencGm12878CytosolIngelpepMapGcFt	GM12878 Cytosol InGel ProtG GENCODE11 Hg19 Mapping from ENCODE/UNC/BSU
wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongpolya	GM12878 cytosol polyA+ Microarray Transfrags from ENCODE Affy/CSHL
wgEncodeSunyRipSeqGm12878Elavl1Pk	GM12878 ELAVL1 RIP-seq Analysis from ENCODE/SUNY
wgEncodeBroadHistoneGm12878Ezh239875Pk	GM12878 EZH2 (39875) Histone Mods by ChIP-seq Peaks from ENCODE/Broad
wgEncodeOpenChromFaireGm12878BaseOverlapSignal	GM12878 FAIRE Overlap Signal from ENCODE/OpenChrom(UNC)
wgEncodeSunyAlbanyGeneStGm12878Igf2bp1RbpAssocRnaV2	GM12878 IGF2BP1 RBP Associated RNA by RIP-chip GeneST from ENCODE/SUNY
wgEncodeUncBsuProtGm12878NucleusSig	GM12878 Nucleus Proteogenomic Hg19 Mapping Hits from ENCODE/UNC/BSU
wgEncodeOpenChromDnaseGm12878BaseOverlapSignal	GM12878 DNaseI HS Overlap Signal from ENCODE/Duke
wgEncodeUwRepliSeqGm12878S2PctSignalRep1	GM12878 S2-Phase Repli-seq Percentage-normalized Signal Rep 1 from ENCODE/UW
wgEncodeAwgSegmentationSegwayGm12878	GM12878 Genome Segmentation by Segway from ENCODE/Analysis
wgEncodeUwDnaseGm12878RawRep1	GM12878 DNaseI HS Raw Signal Rep 1 from ENCODE/UW
wgEncodeSunyAlbanyTilingGm12878T7tagRbpAssocRna	GM12878 T7Tag RBP Associated RNA by Tiling Array from ENCODE/SUNY
wgEncodeCaltechRnaSeqGm12878R2x75Th1014Il200SigRep1V4	GM12878 200 bp paired read RNA-seq Signal Rep 1 from ENCODE/Caltech
wgEncodeHaibTfbsGm12878Atf2sc81188V0422111PkRep2	GM12878 ATF2 v042211.1 ChIP-seq Peaks Rep 2 from ENCODE/HAIB
wgEncodeSydhTfbsGm12878Brca1a300IggmusPk	GM12878 BRCA1 IgG-mus ChIP-seq Peaks from ENCODE/SYDH
wgEncodeCshlLongRnaSeqGm12878CellPamContigs	GM12878 whole cell polyA- RNA-seq Contigs Pooled from ENCODE/CSHL
wgEncodeCshlShortRnaSeqGm12878CellShorttotalTapMinusRawRep2	GM12878 TAP-only whole cell small RNA-seq Minus signal Rep 2 from ENCODE/CSHL
wgEncodeUwTfbsGm12878CtcfStdRawRep1	GM12878 CTCF TFBS ChIP-seq Raw Signal 1 from ENCODE/UW
wgEncodeRikenCageGm12878CytosolPamMinusSignal	GM12878 cytosol polyA- CAGE Minus start sites Rep 1 from ENCODE/RIKEN
wgEncodeUwHistoneGm12878H3k4me3StdRawRep1	GM12878 H3K4me3 Histone Mod ChIP-seq Raw Sig 1 from ENCODE/UW
hinv70PseudoGene	H-Inv v7.0 Pseudogene Predictions
wgEncodeHaibMethylRrbsH1hescHaibSitesRep1	H1-hESC Methyl-RRBS Rep 1 from ENCODE/HudsonAlpha
wgEncodeHaibGenotypeH1hescRegionsRep2	H1-hESC Copy number variants Replicate 1 (Lab Rep 2) from ENCODE/HAIB
wgEncodeFsuRepliChipH1hescWaveSignalRep3	H1-hESC Repli-chip Wavelet-smoothed Signal Rep 3 from ENCODE/FSU
hapmapSnpsCHB	HapMap SNPs from the CHB Population (Han Chinese in Beijing, China)
wgEncodeRegTxnCaltechRnaSeqHelas3R2x75Il200SigPooled	Transcription of HeLa-S3 cells from ENCODE
dhcHumDerDenAncAllHighFreq	Modern Human Derived (HighFreq), Denisova Ancestral: All
wgEncodeRegMarkH3k4me1Hsmm	H3K4Me1 Mark (Often Found Near Regulatory Elements) on HSMM Cells from ENCODE
wgEncodeRegMarkH3k4me3Hsmm	H3K4Me3 Mark (Often Found Near Promoters) on HSMM Cells from ENCODE
wgEncodeRegMarkH3k27acHsmm	H3K27Ac Mark (Often Found Near Regulatory Elements) on HSMM Cells from ENCODE
iscaLikelyBenign	ISCA CNVs: Uncertain: Likely Benign
wgEncodeHaibMethyl450K562SitesRep1	K562 Methylation 450K Bead Array from ENCODE/HAIB
wgEncodeUwAffyExonArrayK562SimpleSignalRep2	K562 Exon array Signal Rep 2 from ENCODE/UW
wgEncodeBroadHmmK562HMM	K562 Chromatin State Segmentation by HMM from ENCODE/Broad
wgEncodeAwgDnaseUwdukeK562UniPk	K562 DNaseI HS Uniform Peaks from ENCODE/Analysis
wgEncodeUchicagoTfbsK562Egata2ControlPk	K562 GATA2 GFP-tag TFBS Peaks from ENCODE/UChicago
wgEncodeSydhHistoneK562H3k4me3bUcdPk	K562 H3K4me3 Histone Modifications by ChIP-Seq Peaks from ENCODE/SYDH
wgEncodeSydhRnaSeqK562Ifna6hPolyaAln	K562 polyA+ IFNa6h RNA-seq Alignments from ENCODE/SYDH
wgEncodeUmassDekker5CK562PkV2	K562 5C Peaks from ENCODE/UMass-Dekker
wgEncodeGisChiaPetK562Pol2InteractionsRep1	K562 Pol2 ChIA-PET Interactions Rep 1 from ENCODE/GIS-Ruan
wgEncodeUwDgfK562Sig	K562 DNaseI DGF Per-base Signal from ENCODE/UW
wgEncodeOpenChromSynthK562Pk	K562 DNaseI/FAIRE/ChIP Synthesis from ENCODE/OpenChrom
pgKb1Illum	KB1 Genome Variants, Illumina 23.2X
phyloP46wayPlacental	Placental Mammal Basewise Conservation by PhyloP
ucsfMedipSeqBrainCpG	MeDIP-seq CpG Score
numtSMitochondrion	Human NumtS on Mitochondrion
polyASeqSitesKidneyFwd	Poly(A)-tail sequencing of Kidney from Merck (Fwd strand)
wgEncodeGencodePseudoGeneV7	Pseudogene Annotation Set from ENCODE/GENCODE Version 7
wgEncodeGencodePseudoGeneV14	Pseudogene Annotation Set from ENCODE/GENCODE Version 14
wgEncodeGencodePseudoGeneV17	Pseudogene Annotation Set from ENCODE/GENCODE Version 17
