"Disease 1"	"Disease 2"	"Corr. coefficient"
"Chronic lymphocytic leukemia"	"Lung adenocarcinoma"	-0.207028642296791
"Carcinoid"	"Neuroblastoma"	-0.228352129459381
"Bladder cancer"	"Lung squamous cell carcinoma"	-0.230255171656609
"Lung adenocarcinoma"	"Multiple myeloma"	-0.243609488010406
"Lung squamous cell carcinoma"	"Prostate cancer"	-0.24378702044487
"Bladder cancer"	"Esophageal adenocarcinoma"	-0.24799220263958
"Lung squamous cell carcinoma"	"Neuroblastoma"	-0.270837873220444
"Diffuse large B-cell lymphoma"	"Melanoma"	-0.281821638345718
"Colorectal cancer"	"Rhabdoid cancer"	-0.286970943212509
"Glioblastoma multiforme"	"Medulloblastoma"	-0.290999352931976
"Diffuse large B-cell lymphoma"	"Medulloblastoma"	-0.294967383146286
"Melanoma"	"Prostate cancer"	-0.296047985553741
"Colorectal cancer"	"Prostate cancer"	-0.296593368053436
"Medulloblastoma"	"Melanoma"	-0.306968748569489
"Chronic lymphocytic leukemia"	"Melanoma"	-0.317618876695633
"Bladder cancer"	"Neuroblastoma"	-0.322686612606049
"Lung adenocarcinoma"	"Prostate cancer"	-0.326512932777405
"Colorectal cancer"	"Glioblastoma multiforme"	-0.327589064836502
"Melanoma"	"Endometrial cancer"	-0.34116330742836
"Esophageal adenocarcinoma"	"Neuroblastoma"	-0.376278787851334
"Carcinoid"	"Glioblastoma multiforme"	-0.398328095674515
"Chronic lymphocytic leukemia"	"Neuroblastoma"	-0.418021768331528
"Head and neck cancer"	"Melanoma"	-0.429197371006012
"Multiple myeloma"	"Endometrial cancer"	-0.437502831220627
"Carcinoid"	"Colorectal cancer"	-0.439919054508209
"Bladder cancer"	"Glioblastoma multiforme"	-0.449359923601151
"Chronic lymphocytic leukemia"	"Endometrial cancer"	-0.450215250253677
"Carcinoid"	"Lung adenocarcinoma"	-0.453505426645279
"Colorectal cancer"	"Esophageal adenocarcinoma"	-0.456548631191254
"Melanoma"	"Multiple myeloma"	-0.477729737758636
"Colorectal cancer"	"Lung squamous cell carcinoma"	-0.484420269727707
"Multiple myeloma"	"Neuroblastoma"	-0.493577003479004
"Head and neck cancer"	"Neuroblastoma"	-0.494585186243057
"Head and neck cancer"	"Endometrial cancer"	-0.507320582866669
"Glioblastoma multiforme"	"Endometrial cancer"	-0.536962509155273
"Acute myeloid leukemia"	"Glioblastoma multiforme"	-0.544301986694336
"Bladder cancer"	"Colorectal cancer"	-0.546304643154144
"Esophageal adenocarcinoma"	"Medulloblastoma"	-0.568255364894867
"Bladder cancer"	"Lung adenocarcinoma"	-0.575163960456848
"Lung adenocarcinoma"	"Medulloblastoma"	-0.57716566324234
"Glioblastoma multiforme"	"Ovarian cancer"	-0.583267271518707
"Diffuse large B-cell lymphoma"	"Endometrial cancer"	-0.593488574028015
"Lung adenocarcinoma"	"Endometrial cancer"	-0.608266413211823
"Kidney clear cell carcinoma"	"Lung squamous cell carcinoma"	-0.608770132064819
"Lung squamous cell carcinoma"	"Medulloblastoma"	-0.611932516098022
"Melanoma"	"Ovarian cancer"	-0.614756762981415
"Diffuse large B-cell lymphoma"	"Neuroblastoma"	-0.615249812602997
"Breast cancer"	"Lung squamous cell carcinoma"	-0.619957327842712
"Acute myeloid leukemia"	"Melanoma"	-0.627697885036469
"Carcinoid"	"Melanoma"	-0.638969540596008
"Esophageal adenocarcinoma"	"Kidney clear cell carcinoma"	-0.666675865650177
"Glioblastoma multiforme"	"Kidney clear cell carcinoma"	-0.685330092906952
"Breast cancer"	"Glioblastoma multiforme"	-0.707360327243805
"Breast cancer"	"Esophageal adenocarcinoma"	-0.712953746318817
"Esophageal adenocarcinoma"	"Endometrial cancer"	-0.728874146938324
"Acute myeloid leukemia"	"Esophageal adenocarcinoma"	-0.730518698692322
"Lung squamous cell carcinoma"	"Ovarian cancer"	-0.763486683368683
"Lung squamous cell carcinoma"	"Endometrial cancer"	-0.766044735908508
"Acute myeloid leukemia"	"Lung squamous cell carcinoma"	-0.766469776630402
"Colorectal cancer"	"Head and neck cancer"	-0.772399187088013
"Bladder cancer"	"Melanoma"	-0.77245956659317
"Colorectal cancer"	"Multiple myeloma"	-0.773987829685211
"Chronic lymphocytic leukemia"	"Colorectal cancer"	-0.783985555171967
"Esophageal adenocarcinoma"	"Ovarian cancer"	-0.794675529003143
"Acute myeloid leukemia"	"Lung adenocarcinoma"	-0.823919653892517
"Lung adenocarcinoma"	"Ovarian cancer"	-0.826327979564667
"Colorectal cancer"	"Diffuse large B-cell lymphoma"	-0.832455158233643
"Breast cancer"	"Lung adenocarcinoma"	-0.860124409198761
"Kidney clear cell carcinoma"	"Lung adenocarcinoma"	-0.862092435359955
"Breast cancer"	"Melanoma"	-0.862287223339081
"Kidney clear cell carcinoma"	"Melanoma"	-0.898429930210114
